id_rh,nilai_rh,id_waktu,id_tanggal
RH310,59.4,J17,T3
RH311,59.6,J17,T3
RH312,59.7,J17,T3
RH313,59.8,J17,T3
RH314,59.9,J17,T3
RH315,59.9,J17,T3
RH316,60,J18,T3
RH317,60,J18,T3
RH318,60.1,J18,T3
RH319,60.1,J18,T3
RH320,60.2,J18,T3
RH321,60.2,J18,T3
RH322,60.2,J19,T3
RH323,60.3,J19,T3
RH324,60.3,J19,T3
RH325,60.3,J19,T3
RH326,60.4,J19,T3
RH327,60.4,J19,T3
RH328,60.4,J20,T3
RH329,60.5,J20,T3
RH330,60.6,J20,T3
RH331,60.7,J20,T3
RH332,60.7,J20,T3
RH333,60.8,J20,T3
RH334,60.9,J21,T3
RH335,61,J21,T3
RH336,61,J21,T3
RH337,61.1,J21,T3
RH338,61.2,J21,T3
RH339,61.3,J21,T3
RH340,61.4,J22,T3
RH341,61.4,J22,T3
RH342,61.5,J22,T3
RH343,61.6,J22,T3
RH344,61.7,J22,T3
RH345,61.7,J22,T3
RH346,61.8,J23,T3
RH347,61.9,J23,T3
RH348,61.9,J23,T3
RH349,61.8,J23,T3
RH350,61.4,J23,T3
RH351,60.7,J23,T3
RH352,60.3,J24,T4
RH353,59.5,J24,T4
RH354,60.4,J24,T4
RH355,60.8,J24,T4
RH356,60.8,J24,T4
RH357,60.6,J24,T4
RH358,60.6,J1,T4
RH359,60.6,J1,T4
RH360,60.5,J1,T4
RH361,60.3,J1,T4
RH362,60.1,J1,T4
RH363,59.8,J1,T4
RH364,59,J2,T4
RH365,58.5,J2,T4
RH366,57.9,J2,T4
RH367,57.2,J2,T4
RH368,56.3,J2,T4
RH369,55.2,J2,T4
RH370,54.2,J3,T4
RH371,53.5,J3,T4
RH372,52.8,J3,T4
RH373,52.2,J3,T4
RH374,51.7,J3,T4
RH375,51,J3,T4
RH376,50.7,J4,T4
RH377,50.5,J4,T4
RH378,50.2,J4,T4
RH379,50,J4,T4
RH380,49.9,J4,T4
RH381,49.5,J4,T4
RH382,49.3,J5,T4
RH383,49.6,J5,T4
RH384,49.6,J5,T4
RH385,49.8,J5,T4
RH386,49.9,J5,T4
RH387,49.9,J5,T4
RH388,49.9,J6,T4
RH389,49.7,J6,T4
RH390,49.8,J6,T4
RH391,49.8,J6,T4
RH392,49.8,J6,T4
RH393,50,J6,T4
RH394,50.2,J7,T4
RH395,50.3,J7,T4
RH396,50.5,J7,T4
RH397,50.6,J7,T4
RH398,50.9,J7,T4
RH399,51.1,J7,T4
RH400,51.1,J8,T4
RH401,51.2,J8,T4
RH402,51.2,J8,T4
RH403,51.4,J8,T4
RH404,51.4,J8,T4
RH405,51.5,J8,T4
RH406,51.4,J9,T4
RH407,51.2,J9,T4
RH408,51.5,J9,T4
RH409,51.7,J9,T4
RH410,51.7,J9,T4
RH411,51.8,J9,T4
RH412,51.8,J10,T4
RH413,51.7,J10,T4
RH414,51.3,J10,T4
RH415,50.6,J10,T4
RH416,50.3,J10,T4
RH417,50.2,J10,T4
RH418,50.4,J11,T4
RH419,50.2,J11,T4
RH420,50.4,J11,T4
RH421,50.6,J11,T4
RH422,50.9,J11,T4
RH423,51.3,J11,T4
RH424,51.6,J12,T4
RH425,51.9,J12,T4
RH426,52.2,J12,T4
RH427,52.4,J12,T4
RH428,52.6,J12,T4
RH429,52.7,J12,T4
RH430,53,J13,T4
RH431,53.1,J13,T4
RH432,53.3,J13,T4
RH433,53.5,J13,T4
RH434,53.7,J13,T4
RH435,53.8,J13,T4
RH436,53.9,J14,T4
RH437,54,J14,T4
RH438,54.1,J14,T4
RH439,54.1,J14,T4
RH440,54.2,J14,T4
RH441,54.3,J14,T4
RH442,54.4,J15,T4
RH443,54.5,J15,T4
RH444,54.6,J15,T4
RH445,54.7,J15,T4
RH446,54.8,J15,T4
RH447,55,J15,T4
RH448,55.1,J16,T4
RH449,55.2,J16,T4
RH450,55.4,J16,T4
RH451,55.5,J16,T4
RH452,55.7,J16,T4
RH453,55.9,J16,T4
RH454,56.1,J17,T4
RH455,56.2,J17,T4
RH456,56.4,J17,T4
RH457,56.5,J17,T4
RH458,56.6,J17,T4
RH459,56.8,J17,T4
RH460,56.9,J18,T4
RH461,57,J18,T4
RH462,57.1,J18,T4
RH463,57.2,J18,T4
RH464,57.2,J18,T4
RH465,57.4,J18,T4
RH466,57.4,J19,T4
RH467,57.5,J19,T4
RH468,57.6,J19,T4
RH469,57.6,J19,T4
RH470,57.7,J19,T4
RH471,57.8,J19,T4
RH472,57.9,J20,T4
RH473,58.1,J20,T4
RH474,58.2,J20,T4
RH475,58.3,J20,T4
RH476,58.5,J20,T4
RH477,58.6,J20,T4
RH478,58.8,J21,T4
RH479,58.9,J21,T4
RH480,59,J21,T4
RH481,59.2,J21,T4
RH482,59.3,J21,T4
RH483,59.4,J21,T4
RH484,59.5,J22,T4
RH485,59.6,J22,T4
RH486,59.7,J22,T4
RH487,59.8,J22,T4
RH488,59.9,J22,T4
RH489,59.9,J22,T4
RH490,60,J23,T4
RH491,60,J23,T4
RH492,60,J23,T4
RH493,59.8,J23,T4
RH494,59.4,J23,T4
RH495,58.9,J23,T4
RH496,58.1,J24,T5
RH497,57.9,J24,T5
RH498,58.9,J24,T5
RH499,59.2,J24,T5
RH500,59.2,J24,T5
RH501,59,J24,T5
RH502,55.8,J1,T5
RH503,48.1,J1,T5
RH504,49.3,J1,T5
RH505,47.3,J1,T5
RH506,43.4,J1,T5
RH507,41.2,J1,T5
RH508,40.3,J2,T5
